Street,Bus Line,Departure Time,RouteDescription,Route Duration (minutes)
Bulevar Oslobođenja,Bus Line 85,16:24,"The bus passes through the streets: Laze Telečkog, Kneza Pavla, Radnički, Narodnog Fronta, Petefi Šandora, Bulevar Mihajla Pupina, Braće Milić, Svetosavska, Kneza Mihaila. On the way, you can see: Matica Srpska Gallery, Limanski Park, Fruška Gora National Park.",43
Pavla Papa,Bus Line 52,11:06,"The bus passes through the streets: Trg Slobode, Karađorđeva, Kraljice Marije, Radnički, Braće Krkljuš. On the way, you can see: Limanski Park, Stari Grad.",31
Petra Kočića,Bus Line 19,20:31,"The bus passes through the streets: Žarka Zrenjanina, Kisacka, Stevana Sinđelića, Temerinska, Kneza Miloša, Petra Drapšina, Futog, Cara Lazara. On the way, you can see: Svetozar Miletić Monument, University of Novi Sad, Stari Grad, Novi Sad Fair.",51
Bulevar Evrope,Bus Line 38,0:57,"The bus passes through the streets: Braće Radić, Grbavica, Svetog Save, Laze Telečkog, Zmaj Jovina, Bulevar kralja Aleksandra, Dositejeva. On the way, you can see: Matica Srpska Gallery, University of Novi Sad, Danube River, Serbian National Theatre.",47
Sonje Marinković,Bus Line 24,1:55,"The bus passes through the streets: Laze Telečkog, Stevana Sremca, Stevana Sinđelića, Vladimira Perića, Vuka Karadžića. On the way, you can see: University of Novi Sad, Limanski Park, Danube Park.",31
Lasla Gala,Bus Line 68,23:38,"The bus passes through the streets: Gogoljeva, Partizanska, Maksima Gorkog, Sajlovo, Bulevar Evrope, Petra Drapšina, Futoška, Svetosavska, Kneza Mihailova, Milana Tepić. On the way, you can see: Novi Sad Synagogue, Museum of Vojvodina, Žeželj Bridge.",36
Stevana Mokranjca,Bus Line 2,2:05,"The bus passes through the streets: Grbavica, Braće Krsmanović, Sajlovo, Vuka Karadžića, Braće Krkljuš, Njegoševa, Bulevar Jaše Tomića, Milovana Glišića, Nova 2, Narodnih Heroja. On the way, you can see: Museum of Vojvodina, Stari Grad, Petrovaradin Fortress.",24
Banatić,Bus Line 38,12:04,"The bus passes through the streets: Braće Ilić, Narodnog Fronta, Nikole Tesle, Njegoševa, Braće Jerković. On the way, you can see: Petrovaradin Fortress, Cathedral of Saint George.",29
Jovana Cvijića,Bus Line 85,3:37,"The bus passes through the streets: Petefi Šandora, Novosadska 2, Bulevar Mihajla Pupina, Lasla Gala, Telep, Vladimira Perića, Braće Ribnikar, Braće Jovanović, Bulevar Jaše Tomića. On the way, you can see: City Hall, Spens Sports Center, Matica Srpska Gallery.",43
Dositejeva,Bus Line 43,6:05,"The bus passes through the streets: Braće Dronjak, Vojislava Ilića, Kneza Lazara, Železnička, Jovana Subotića, Partizanska, Bulevar kralja Aleksandra, Milutina Milankovića, Nova 1. On the way, you can see: Stari Grad, Limanski Park.",53
Bulevar Patrijarha Pavla,Bus Line 49,6:47,"The bus passes through the streets: Bulevar kralja Petra I, Vuka Karadžića, Nikole Tesle, Đorđa Jovanovića, Futog, Vuka Karadžića, Novosadska 1. On the way, you can see: Cathedral of Saint George, Fruška Gora National Park.",26
Stevana Sremca,Bus Line 91,20:24,"The bus passes through the streets: Slobodana Bajica, Kisacka, Braće Krkljuš, Adice, Futog, Novosadska. On the way, you can see: Danube River, Matica Srpska Gallery.",23
Limani,Bus Line 41,8:34,"The bus passes through the streets: Bulevar Slobodana Jovanovića, Jovana Cvijića, Kralja Aleksandra I Karađorđevića, Stražilovska, Đorđa Jovanovića. On the way, you can see: Matica Srpska Gallery, University of Novi Sad, Liberty Square.",60
Dunavska,Bus Line 74,4:22,"The bus passes through the streets: Njegoševa, Grbavica, Laze Telečkog, Svetosavska, Braće Ribnikar. On the way, you can see: Stari Grad, Serbian National Theatre, Spens Sports Center.",47
Jovana Cvijića,Bus Line 84,2:10,"The bus passes through the streets: Vojvode Mišića, Partizanska, Bulevar Jaše Tomića, Majke Jugovića, Petra Drapšina, Trg Slobode, Temerinska, Kneza Miloša. On the way, you can see: Cathedral of Saint George, City Hall, University of Novi Sad.",48
Svetosavska,Bus Line 97,6:05,"The bus passes through the streets: Stefana Dečanskog, Novosadska 1, Bulevar Mihajla Pupina, Vojvode Mišića, Vojvode Mišića, Trg Republike, Braće Grulović, Nikole Tesle, Aleksandra Vulina. On the way, you can see: Stari Grad, Spens Sports Center.",29
Živojina Mišića,Bus Line 75,2:57,"The bus passes through the streets: Jug Bogdana, Vojvode Mišića, Pariske Komune, Slobodana Bajica, Cara Dušana, Braće Kovač, Milana Tepić, Đure Đakovića. On the way, you can see: Freedom Square, University of Novi Sad, Serbian National Theatre.",60
Braće Ribnikar,Bus Line 2,11:31,"The bus passes through the streets: Braće Vujić, Slobodana Bajica, Svetog Save, Kraljice Marije, Jevrejska, Kneza Mihaila, Braće Kovač. On the way, you can see: Serbian National Theatre, City Hall.",49
Petra Drapšina,Bus Line 42,21:36,"The bus passes through the streets: Miloša Obilića, Bulevar Mihajla Pupina, Slobodana Bajica, Jevrejska, Aleksandra Vulina, Petra Kočića, Kisacka. On the way, you can see: Museum of Vojvodina, Big Shopping Mall, Danube River, Novi Sad Synagogue.",51
Braće Janjić,Bus Line 46,8:34,"The bus passes through the streets: Limani, Gogoljeva, Bulevar kralja Aleksandra, Vuka Karadžića, Stevana Mokranjca, Temerinska, Petefi Šandora, Svetog Save, Bulevar Mihajla Pupina. On the way, you can see: Svetozar Miletić Monument, Žeželj Bridge, Museum of Vojvodina, Strand Beach.",56
Petefi Šandora,Bus Line 85,8:34,"The bus passes through the streets: Nikole Tesle, Kisacka, Vuka Karadžića, Njegoševa, Svetosavska, Partizanska, Miloša Obilića, Milovana Glišića, Stevana Sremca, Braće Milić. On the way, you can see: Freedom Square, Stari Grad, Museum of Vojvodina, Fruška Gora National Park.",43
Partizanska,Bus Line 16,9:04,"The bus passes through the streets: Žarka Zrenjanina, Klisa, Sonje Marinković, Njegoševa, Nova 1, Petra Drapšina, Stevana Sremca, Jovana Cvijića, Dunavska. On the way, you can see: Žeželj Bridge, Limanski Park, City Hall.",46
Braće Janjić,Bus Line 32,7:54,"The bus passes through the streets: Pariske Komune, Bulevar Jaše Tomića, Braće Krkljuš, Vuka Karadžića, Braće Ilić. On the way, you can see: Limanski Park, Svetozar Miletić Monument.",50
Somborska Rampa,Bus Line 87,3:37,"The bus passes through the streets: Železnička, Narodnog Fronta, Zlatiborska, Banatić, Beogradska, Stefana Dečanskog, Zmaj Jovina, Braće Jovanović, Lasla Gala, Novosadska 3. On the way, you can see: Cathedral of Saint George, Freedom Square, Danube Park, Danube River.",29
Kneza Lazara,Bus Line 93,16:44,"The bus passes through the streets: Braće Krsmanović, Braće Penić, Braće Kovač, Novosadska 2, Veternik, Sonje Marinković, Braće Popović. On the way, you can see: Big Shopping Mall, Novi Sad Fair, Fruška Gora National Park, Novi Sad Synagogue.",30
Braće Krsmanović,Bus Line 84,9:44,"The bus passes through the streets: Svetosavska, Banatić, Njegoševa, Zmaj Jovina, Laze Telečkog, Maksima Gorkog, Nova 2. On the way, you can see: Danube Park, Stari Grad, Strand Beach.",56
Jovana Subotića,Bus Line 46,14:49,"The bus passes through the streets: Laze Telečkog, Braće Krsmanović, Petefi Šandora, Stepanovići, Maksima Gorkog. On the way, you can see: Svetozar Miletić Monument, Freedom Square.",46
Bulevar Mihajla Pupina,Bus Line 10,21:11,"The bus passes through the streets: Veternik, Bulevar kralja Petra I, Svetog Save, Miletićeva, Stevana Mokranjca, Vuka Karadžića, Braće Radić, Stražilovska, Kralja Aleksandra, Laze Telečkog. On the way, you can see: University of Novi Sad, Petrovaradin Fortress, Freedom Square, Danube River.",52
Braće Dronjak,Bus Line 89,7:17,"The bus passes through the streets: Braće Dronjak, Narodnih Heroja, Braće Ribnikar, Žarka Zrenjanina, Pariske Komune, Temerinska, Novosadska, Salajka, Majke Jugovića. On the way, you can see: Danube Park, Fruška Gora National Park.",50
Braće Janjić,Bus Line 67,16:24,"The bus passes through the streets: Limani, Kneza Višeslava, Vojvode Putnika, Jevrejska, Đure Đakovića, Jovana Dučića, Železnička. On the way, you can see: Svetozar Miletić Monument, Petrovaradin Fortress, Fish Market, Danube River.",56
Partizanska,Bus Line 46,2:05,"The bus passes through the streets: Futog, Trg Republike, Vuka Karadžića, Novosadska, Nikole Tesle, Braće Krkljuš, Mihajla Pupina, Zlatiborska, Aleksandra Vulina, Braće Đukić. On the way, you can see: Danube River, Freedom Square, Serbian National Theatre, Svetozar Miletić Monument.",45
Sonje Marinković,Bus Line 45,0:42,"The bus passes through the streets: Đorđa Jovanovića, Braće Ribnikar, Kralja Aleksandra, Jug Bogdana, Braće Vujić. On the way, you can see: University of Novi Sad, Danube River.",48
Braće Jerković,Bus Line 23,0:35,"The bus passes through the streets: Braće Dronjak, Petefi Šandora, Jovana Subotića, Beogradska, Mihajla Pupina, Bulevar Mihajla Pupina, Balzakova, Vojvode Putnika. On the way, you can see: Fruška Gora National Park, Danube River, Petrovaradin Fortress.",54
Cara Lazara,Bus Line 38,21:21,"The bus passes through the streets: Braće Penić, Stevana Mokranjca, Novosadska 3, Kneza Miloša, Klisa, Banatić. On the way, you can see: Danube Park, Freedom Square.",45
Feješ Klare,Bus Line 2,4:45,"The bus passes through the streets: Kralja Milana, Vuka Karadžića, Cara Dušana, Braće Đukić, Kneza Lazara, Stevana Sinđelića, Balzakova, Njegoševa, Kneza Mihaila. On the way, you can see: Liberty Square, Novi Sad Fair, Fish Market, Spens Sports Center.",53
Narodnog Fronta,Bus Line 12,8:37,"The bus passes through the streets: Partizanska, Bulevar kralja Petra I, Stražilovska, Gogoljeva, Braće Čolaković, Maksima Gorkog, Njegoševa, Njegoševa, Braće Ribnikar. On the way, you can see: City Hall, Fish Market, Museum of Vojvodina, University of Novi Sad.",28
Partizanska,Bus Line 40,17:07,"The bus passes through the streets: Kralja Milana, Vuka Karadžića, Jevrejska, Laze Kostića, Kneza Lazara, Stevana Sremca, Mihajla Pupina, Braće Krkljuš, Karađorđeva. On the way, you can see: Freedom Square, Stari Grad, Spens Sports Center, Big Shopping Mall.",54
Stevana Sremca,Bus Line 47,21:11,"The bus passes through the streets: Braće Jerković, Kneza Mihaila, Braće Grulović, Vojvode Putnika, Cara Dušana. On the way, you can see: Strand Beach, University of Novi Sad.",48
Kisacka,Bus Line 48,4:25,"The bus passes through the streets: Novosadska 3, Partizanska, Svetosavska, Dunavska, Kralja Aleksandra I Karađorđevića, Braće Ribnikar, Braće Grulović, Veternik, Nikole Tesle. On the way, you can see: Strand Beach, Limanski Park, Freedom Square.",22
Žarka Zrenjanina,Bus Line 3,23:38,"The bus passes through the streets: Maksima Gorkog, Jug Bogdana, Adice, Braće Kovač, Narodnog Fronta, Novosadska. On the way, you can see: Serbian National Theatre, Petrovaradin Fortress, City Hall, Svetozar Miletić Monument.",21
Stevana Sinđelića,Bus Line 4,15:44,"The bus passes through the streets: Bulevar Oslobođenja, Milana Tepić, Cara Lazara, Braće Radić, Vojvode Putnika, Đure Đakovića, Petefi Šandora, Braće Ribnikar, Kneza Pavla, Telep. On the way, you can see: Danube River, Svetozar Miletić Monument, Big Shopping Mall, Fish Market.",25
Bulevar Slobodana Jovanovića,Bus Line 77,22:38,"The bus passes through the streets: Nikole Tesle, Dositejeva, Slobodana Bajica, Kneza Miloša, Aleksandra Vulina, Braće Grulović, Živojina Mišića, Narodnog Fronta. On the way, you can see: City Hall, Limanski Park, Novi Sad Synagogue.",48
Bulevar Evrope,Bus Line 59,23:03,"The bus passes through the streets: Jevrejska, Svetog Save, Vuka Karadžića, Braće Dronjak, Veternik, Narodnog Fronta, Gogoljeva, Pavla Papa, Vojvode Mišića, Zmaj Jovina. On the way, you can see: City Hall, Petrovaradin Fortress, Liberty Square, Danube River.",32
Živojina Mišića,Bus Line 71,21:36,"The bus passes through the streets: Njegoševa, Petra Kočića, Majke Jugovića, Svetozara Miletića, Petra Drapšina. On the way, you can see: University of Novi Sad, City Hall, Danube Park.",49
Braće Čolaković,Bus Line 51,1:37,"The bus passes through the streets: Kneza Lazara, Beogradska, Braće Jovanović, Bulevar Mihajla Pupina, Đorđa Jovanovića, Kralja Aleksandra, Novosadska 3, Braće Popović, Adice. On the way, you can see: Danube Park, Freedom Square, Petrovaradin Fortress.",59
Stepanovići,Bus Line 60,12:14,"The bus passes through the streets: Svetog Save, Stevana Sremca, Cara Dušana, Sajlovo, Maksima Gorkog. On the way, you can see: Fish Market, Matica Srpska Gallery.",36
Carice Milice,Bus Line 82,20:21,"The bus passes through the streets: Miloša Obilića, Banatić, Cara Lazara, Svetog Save, Laze Telečkog, Zlatiborska, Veternik, Kneza Lazara. On the way, you can see: Danube Park, Limanski Park.",59
Kneza Mihailova,Bus Line 28,4:25,"The bus passes through the streets: Đure Đakovića, Svetosavska, Telep, Aleksandra Vulina, Vojvode Mišića. On the way, you can see: Spens Sports Center, Fruška Gora National Park.",43
Stevana Mokranjca,Bus Line 62,6:47,"The bus passes through the streets: Njegoševa, Svetog Save, Stevana Sremca, Novosadska 3, Slobodana Bajica, Kneza Mihaila, Stevana Mokranjca, Partizanska. On the way, you can see: Danube River, Spens Sports Center, Matica Srpska Gallery.",44
Železnička,Bus Line 78,12:14,"The bus passes through the streets: Feješ Klare, Braće Čolaković, Vojvode Mišića, Bulevar Evrope, Vladimira Perića, Vuka Karadžića, Narodnih Heroja, Grbavica, Stevana Sremca, Petra Kočića. On the way, you can see: Danube Park, Stari Grad.",33
Novosadska 1,Bus Line 66,4:25,"The bus passes through the streets: Braće Brkić, Petra Kočića, Sajlovo, Futog, Kneza Pavla. On the way, you can see: Freedom Square, Spens Sports Center, Liberty Square, Stari Grad.",50
Milana Tepić,Bus Line 67,15:44,"The bus passes through the streets: Jovana Dučića, Somborska Rampa, Bulevar Mihajla Pupina, Đure Đakovića, Futog, Karađorđeva, Bulevar Evrope. On the way, you can see: Serbian National Theatre, Museum of Vojvodina, Matica Srpska Gallery.",34
Zmaj Jovina,Bus Line 76,3:52,"The bus passes through the streets: Njegoševa, Zlatiborska, Miletićeva, Braće Jovanović, Vojislava Ilića. On the way, you can see: Serbian National Theatre, Freedom Square, Strand Beach.",55
Bulevar Oslobođenja,Bus Line 27,13:49,"The bus passes through the streets: Beogradska, Kralja Milana, Slobodana Bajica, Braće Jerković, Braće Milić, Kneza Mihailova, Braće Jovanović, Balzakova, Klisa. On the way, you can see: Fish Market, University of Novi Sad, Danube River, Danube Park.",28
Stražilovska,Bus Line 58,1:40,"The bus passes through the streets: Miše Dimitrijevića, Svetosavska, Petra Kočića, Braće Ilić, Svetosavska, Aleksandra Vulina, Futoška, Braće Radić, Bulevar kralja Petra I, Sonje Marinković. On the way, you can see: Big Shopping Mall, Spens Sports Center.",27
Temerinska,Bus Line 51,17:07,"The bus passes through the streets: Braće Vujić, Narodnog Fronta, Stevana Mokranjca, Vojislava Ilića, Nikole Tesle, Kneza Mihaila, Lasla Gala, Bulevar Mihajla Pupina. On the way, you can see: Strand Beach, Cathedral of Saint George, Žeželj Bridge, Matica Srpska Gallery.",47
Feješ Klare,Bus Line 60,6:47,"The bus passes through the streets: Braće Dronjak, Vladimira Perića, Kralja Aleksandra I Karađorđevića, Vuka Karadžića, Nova 1. On the way, you can see: Cathedral of Saint George, City Hall.",37
Majke Jugovića,Bus Line 10,12:49,"The bus passes through the streets: Partizanska, Braće Ribnikar, Novosadska 2, Kneza Mihailova, Bulevar kralja Aleksandra, Nikole Tesle, Braće Ribnikar. On the way, you can see: Freedom Square, Fruška Gora National Park.",23
Vukašinovićeva,Bus Line 71,15:54,"The bus passes through the streets: Braće Krkljuš, Nova 2, Đorđa Jovanovića, Zlatiborska, Vukašinovićeva, Zmaj Jovina, Partizanska, Kneza Mihaila, Petra Kočića, Braće Radić. On the way, you can see: City Hall, Big Shopping Mall, Strand Beach.",55
Laze Telečkog,Bus Line 28,22:38,"The bus passes through the streets: Svetog Save, Sajlovo, Kneza Lazara, Njegoševa, Partizanska, Braće Vujić. On the way, you can see: Museum of Vojvodina, Cathedral of Saint George.",30
Petefi Šandora,Bus Line 23,20:21,"The bus passes through the streets: Železnička, Temerinska, Kneza Višeslava, Milovana Glišića, Narodnog Fronta, Branka Radičevića, Balzakova, Novosadska. On the way, you can see: Strand Beach, Museum of Vojvodina, Spens Sports Center.",48
Braće Grulović,Bus Line 56,18:34,"The bus passes through the streets: Braće Vujić, Braće Krkljuš, Stražilovska, Kneza Miloša, Lasla Gala, Braće Ribnikar, Detelinara, Partizanska. On the way, you can see: Liberty Square, Museum of Vojvodina.",36
Temerinska,Bus Line 28,11:31,"The bus passes through the streets: Laze Telečkog, Bulevar Patrijarha Pavla, Limani, Miloša Obilića, Svetosavska. On the way, you can see: Limanski Park, Fruška Gora National Park.",36
Vojvode Mišića,Bus Line 70,6:12,"The bus passes through the streets: Svetog Save, Vukašinovićeva, Vojvode Mišića, Vladimira Perića, Braće Ilić, Petra Drapšina, Živojina Mišića, Petefi Šandora. On the way, you can see: Stari Grad, Matica Srpska Gallery, Serbian National Theatre.",21
Limani,Bus Line 62,6:05,"The bus passes through the streets: Kraljice Marije, Telep, Petra Drapšina, Braće Krkljuš, Bulevar cara Lazara, Bulevar Evrope, Njegoševa. On the way, you can see: Fruška Gora National Park, Museum of Vojvodina, Danube River, Strand Beach.",39
Detelinara,Bus Line 6,20:24,"The bus passes through the streets: Vojvode Mišića, Bulevar kralja Aleksandra, Vukašinovićeva, Jovana Cvijića, Žarka Zrenjanina, Vuka Karadžića, Petefi Šandora. On the way, you can see: Svetozar Miletić Monument, Museum of Vojvodina, Matica Srpska Gallery.",47
Jovana Subotića,Bus Line 74,18:54,"The bus passes through the streets: Braće Vujić, Slobodana Bajica, Braće Penić, Kralja Aleksandra I Karađorđevića, Stepanovići. On the way, you can see: University of Novi Sad, Freedom Square.",41
Miletićeva,Bus Line 90,20:21,"The bus passes through the streets: Gogoljeva, Petra Kočića, Jovana Dučića, Trg Republike, Cara Dušana, Svetog Save, Feješ Klare, Vuka Karadžića. On the way, you can see: University of Novi Sad, Big Shopping Mall, Liberty Square.",27
Partizanska,Bus Line 46,12:04,"The bus passes through the streets: Dositejeva, Braće Đukić, Kraljice Marije, Zmaj Jovina, Kralja Milana, Braće Krkljuš, Milutina Milankovića, Braće Ribnikar. On the way, you can see: Fruška Gora National Park, Novi Sad Fair, Cathedral of Saint George.",57
Adice,Bus Line 56,7:17,"The bus passes through the streets: Sonje Marinković, Detelinara, Novosadska 1, Trg Slobode, Vojvode Putnika. On the way, you can see: Serbian National Theatre, Novi Sad Fair, Petrovaradin Fortress, Svetozar Miletić Monument.",51
Bulevar Oslobođenja,Bus Line 54,9:44,"The bus passes through the streets: Kneza Mihaila, Maršala Tita, Trg Republike, Dunavska, Braće Novaković, Braće Grulović, Nikole Tesle. On the way, you can see: Stari Grad, Novi Sad Fair, Liberty Square, Danube Park.",55
Novosadska 3,Bus Line 16,2:37,"The bus passes through the streets: Vojvode Putnika, Vojvode Mišića, Salajka, Kralja Petra I, Cara Dušana, Zlatiborska, Svetosavska, Telep. On the way, you can see: Fruška Gora National Park, Novi Sad Fair, Petrovaradin Fortress, Strand Beach.",56
Omladinska,Bus Line 59,2:57,"The bus passes through the streets: Novosadska, Grbavica, Pariske Komune, Braće Kovač, Petefi Šandora, Partizanska. On the way, you can see: Novi Sad Fair, Fish Market.",37
Svetosavska,Bus Line 15,15:54,"The bus passes through the streets: Njegoševa, Braće Janjić, Novosadska, Stevana Sinđelića, Vojislava Ilića, Majke Jugovića, Svetog Save, Braće Ribnikar. On the way, you can see: University of Novi Sad, Strand Beach.",31
Aleksandra Vulina,Bus Line 21,0:42,"The bus passes through the streets: Somborska Rampa, Adice, Đorđa Jovanovića, Cara Lazara, Partizanska, Mihajla Pupina. On the way, you can see: Matica Srpska Gallery, Fish Market, Cathedral of Saint George.",43
Železnička,Bus Line 14,6:12,"The bus passes through the streets: Novosadska 3, Karađorđeva, Vladimira Perića, Aleksandra Vulina, Vuka Karadžića, Dunavska, Jovana Cvijića, Braće Popović, Maksima Gorkog, Carice Milice. On the way, you can see: Novi Sad Synagogue, Liberty Square, Petrovaradin Fortress, University of Novi Sad.",44
Sonje Marinković,Bus Line 42,22:38,"The bus passes through the streets: Milutina Milankovića, Mihajla Pupina, Vuka Karadžića, Zlatiborska, Feješ Klare, Salajka, Laze Kostića, Braće Jerković, Sajlovo. On the way, you can see: Big Shopping Mall, Matica Srpska Gallery.",37
Stevana Sremca,Bus Line 61,16:24,"The bus passes through the streets: Petra Drapšina, Trg Republike, Vladimira Perića, Dositejeva, Braće Ribnikar, Feješ Klare, Jevrejska, Jovana Subotića. On the way, you can see: Novi Sad Synagogue, Svetozar Miletić Monument, City Hall.",44
Ive Lole Ribara,Bus Line 6,20:24,"The bus passes through the streets: Jovana Dučića, Klisa, Temerinska, Braće Penić, Zlatiborska, Braće Grulović. On the way, you can see: Serbian National Theatre, Danube Park, Stari Grad, Matica Srpska Gallery.",49
Jevrejska,Bus Line 93,4:45,"The bus passes through the streets: Kralja Aleksandra, Svetozara Miletića, Maršala Tita, Njegoševa, Braće Krkljuš, Miše Dimitrijevića, Slobodana Bajica, Svetog Save. On the way, you can see: Žeželj Bridge, Matica Srpska Gallery, Liberty Square, Stari Grad.",47
Braće Ribnikar,Bus Line 65,4:25,"The bus passes through the streets: Vuka Karadžića, Braće Ribnikar, Braće Grulović, Maršala Tita, Laze Kostića, Kneza Višeslava, Jevrejska, Bulevar Jaše Tomića, Braće Radić, Zlatiborska. On the way, you can see: Novi Sad Fair, Strand Beach, Cathedral of Saint George.",47
Zmaj Jovina,Bus Line 56,14:44,"The bus passes through the streets: Zmaj Jovina, Mihajla Pupina, Vojvode Mišića, Vuka Karadžića, Karađorđeva, Kneza Miloša, Sonje Marinković. On the way, you can see: Novi Sad Fair, Žeželj Bridge, Cathedral of Saint George, Freedom Square.",45
Njegoševa,Bus Line 83,12:04,"The bus passes through the streets: Braće Krsmanović, Braće Grulović, Nikole Tesle, Nova 2, Braće Krkljuš, Svetog Save, Somborska Rampa, Cara Lazara, Vojvode Putnika, Svetosavska. On the way, you can see: Fruška Gora National Park, Danube Park, Stari Grad.",27
Bulevar Oslobođenja,Bus Line 77,3:42,"The bus passes through the streets: Stevana Mokranjca, Salajka, Stefana Dečanskog, Kralja Aleksandra, Njegoševa, Svetozara Miletića, Bulevar kralja Petra I, Milutina Milankovića, Svetosavska. On the way, you can see: Petrovaradin Fortress, Spens Sports Center.",26
Jug Bogdana,Bus Line 69,7:47,"The bus passes through the streets: Stevana Sinđelića, Stefana Dečanskog, Braće Čolaković, Podbara, Đure Đakovića, Partizanska. On the way, you can see: Liberty Square, Limanski Park.",51
Trg Republike,Bus Line 90,17:07,"The bus passes through the streets: Podbara, Braće Jovanović, Jovana Cvijića, Narodnog Fronta, Vojvode Mišića. On the way, you can see: City Hall, Freedom Square.",26
Balzakova,Bus Line 32,0:00,"The bus passes through the streets: Dunavska, Braće Novaković, Bulevar kralja Petra I, Balzakova, Petefi Šandora. On the way, you can see: Limanski Park, Spens Sports Center, Cathedral of Saint George.",43
Svetosavska,Bus Line 67,1:40,"The bus passes through the streets: Gogoljeva, Đure Đakovića, Bulevar Mihajla Pupina, Braće Ribnikar, Maršala Tita, Milutina Milankovića, Radnički, Zmaj Jovina. On the way, you can see: Danube River, Freedom Square, Žeželj Bridge.",30
Svetog Save,Bus Line 95,10:29,"The bus passes through the streets: Trg Slobode, Jovana Cvijića, Jovana Cvijića, Podbara, Miletićeva, Braće Grulović, Lasla Gala, Cara Lazara, Novosadska, Limani. On the way, you can see: Fruška Gora National Park, Limanski Park, University of Novi Sad, Svetozar Miletić Monument.",60
Ive Lole Ribara,Bus Line 87,0:35,"The bus passes through the streets: Vojvode Mišića, Milutina Milankovića, Omladinska, Somborska Rampa, Braće Janjić. On the way, you can see: Serbian National Theatre, Freedom Square.",54
Balzakova,Bus Line 34,17:19,"The bus passes through the streets: Kralja Milana, Braće Brkić, Kralja Aleksandra I Karađorđevića, Partizanska, Balzakova, Aleksandra Vulina, Cara Lazara. On the way, you can see: Big Shopping Mall, Spens Sports Center.",54
Njegoševa,Bus Line 1,18:34,"The bus passes through the streets: Milana Tepić, Braće Milić, Kneza Višeslava, Karađorđeva, Kneza Pavla, Cara Lazara. On the way, you can see: Fish Market, Freedom Square, Cathedral of Saint George, Danube Park.",47
Novosadska 1,Bus Line 18,20:31,"The bus passes through the streets: Milutina Milankovića, Jevrejska, Sajlovo, Aleksandra Vulina, Kralja Aleksandra I Karađorđevića. On the way, you can see: Strand Beach, Museum of Vojvodina, Matica Srpska Gallery.",59
Bulevar Slobodana Jovanovića,Bus Line 93,4:22,"The bus passes through the streets: Vojvode Mišića, Slobodana Bajica, Veternik, Vuka Karadžića, Maksima Gorkog, Svetog Save, Braće Dronjak, Vukašinovićeva. On the way, you can see: Novi Sad Synagogue, Svetozar Miletić Monument.",29
Stevana Mokranjca,Bus Line 54,6:05,"The bus passes through the streets: Vuka Karadžića, Bulevar Oslobođenja, Laze Kostića, Svetog Save, Braće Stefanović, Zmaj Jovina. On the way, you can see: Žeželj Bridge, Danube Park.",22
Braće Krkljuš,Bus Line 80,17:19,"The bus passes through the streets: Branka Radičevića, Braće Krkljuš, Podbara, Miše Dimitrijevića, Temerinska. On the way, you can see: Strand Beach, Serbian National Theatre.",40
Braće Stefanović,Bus Line 90,3:37,"The bus passes through the streets: Kralja Milana, Braće Dronjak, Pavla Papa, Jovana Cvijića, Vladimira Perića, Aleksandra Vulina, Grbavica, Vojvode Putnika, Jovana Subotića. On the way, you can see: Žeželj Bridge, Petrovaradin Fortress, Matica Srpska Gallery, Spens Sports Center.",30
Pariske Komune,Bus Line 71,9:39,"The bus passes through the streets: Novosadska 3, Vuka Karadžića, Bulevar Mihajla Pupina, Vuka Karadžića, Futoška, Nikole Tesle, Braće Ribnikar. On the way, you can see: Matica Srpska Gallery, Danube Park, City Hall.",46
Stefana Dečanskog,Bus Line 86,8:34,"The bus passes through the streets: Temerinska, Braće Vujić, Bulevar Mihajla Pupina, Vojvode Mišića, Bulevar Slobodana Jovanovića, Ive Lole Ribara, Miše Dimitrijevića. On the way, you can see: Museum of Vojvodina, Novi Sad Synagogue, Danube Park.",20
Kralja Aleksandra,Bus Line 79,14:44,"The bus passes through the streets: Majke Jugovića, Miletićeva, Braće Brkić, Jevrejska, Braće Dronjak. On the way, you can see: Fruška Gora National Park, Danube Park, Danube River, Spens Sports Center.",27
Novosadska,Bus Line 53,13:49,"The bus passes through the streets: Braće Ilić, Braće Milić, Kraljice Marije, Miše Dimitrijevića, Branka Radičevića, Kralja Milana. On the way, you can see: Fish Market, Big Shopping Mall, Petrovaradin Fortress.",49
Braće Brkić,Bus Line 32,6:05,"The bus passes through the streets: Narodnog Fronta, Dunavska, Vojislava Ilića, Petra Drapšina, Sajlovo, Branka Radičevića, Braće Novaković, Detelinara, Vukašinovićeva, Braće Janjić. On the way, you can see: Freedom Square, Spens Sports Center.",31
Sajlovo,Bus Line 80,6:05,"The bus passes through the streets: Branka Radičevića, Dositejeva, Zmaj Jovina, Gogoljeva, Kralja Aleksandra, Miletićeva, Braće Jerković, Braće Dronjak, Salajka. On the way, you can see: Fruška Gora National Park, Svetozar Miletić Monument.",53
Telep,Bus Line 26,19:36,"The bus passes through the streets: Dositejeva, Jovana Dučića, Jevrejska, Mihajla Pupina, Bulevar Mihajla Pupina. On the way, you can see: Limanski Park, Danube River, Fish Market, Novi Sad Synagogue.",21
Kneza Lazara,Bus Line 98,23:00,"The bus passes through the streets: Nova 2, Bulevar Evrope, Kneza Miloša, Braće Radić, Braće Đukić, Miloša Obilića, Klisa. On the way, you can see: Big Shopping Mall, Novi Sad Fair, Fish Market.",39
